"Group.1","control","dry","none_Fd","none_Fs","none_Fv","watered","Kingdom","Phylum","Class","Order","Family","Genus"
8245,1,NA,1,NA,1,1,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Portibacter"
8246,1,NA,NA,NA,1,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Portibacter"
8248,1,NA,1,NA,1,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Portibacter"
8325,1,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrionaceae_ge"
8336,NA,1,NA,NA,NA,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Paraglaciecola"
8371,1,1,1,1,1,1,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Paraburkholderia"
8372,1,1,1,1,1,1,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Paraburkholderia"
8373,NA,NA,NA,1,NA,1,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Paraburkholderia"
8476,NA,NA,1,NA,NA,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Saprospiraceae_ge"
8556,NA,NA,NA,NA,1,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
8560,1,NA,1,NA,1,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Saprospiraceae_ge"
8565,NA,NA,1,NA,NA,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Saprospiraceae_ge"
8714,NA,NA,1,NA,NA,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Saprospiraceae_ge"
8816,NA,NA,NA,1,NA,1,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Paraburkholderia"
8886,NA,NA,1,NA,NA,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Saprospiraceae_ge"
8977,NA,NA,1,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","E01-9C-26_marine_group","E01-9C-26_marine_group_fa","E01-9C-26_marine_group_ge"
9019,1,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter"
9026,NA,NA,NA,1,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter"
9075,1,NA,1,NA,1,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Saprospiraceae_ge"
9077,NA,NA,1,NA,NA,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Saprospiraceae_ge"
9104,1,NA,1,NA,NA,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Saprospiraceae_ge"
