ASVid,domain,phylum,class,order,family,genus
s15413,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Marinomonadaceae,Marinomonas
s15468,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Portibacter
s15476,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella
s15500,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
s15519,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
s15521,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
s15561,Bacteria,Bacteria_ph,Bacteria_ph_cl,Bacteria_ph_cl_or,Bacteria_ph_cl_or_fa,Bacteria_ph_cl_or_fa_ge
s15600,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas
s15601,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas
s15626,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas
s15668,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter
s15741,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,Bradymonadales_fa,Bradymonadales_fa_ge
s15760,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
s15809,Bacteria,Bacteria_ph,Bacteria_ph_cl,Bacteria_ph_cl_or,Bacteria_ph_cl_or_fa,Bacteria_ph_cl_or_fa_ge
s15865,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Algimonas
s15898,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Xenococcaceae,Pleurocapsa PCC7319
s15971,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcales_fa,Micrococcales_fa_ge
s15976,Bacteria,Actinobacteria,Actinobacteria,PeM15,PeM15_fa,PeM15_fa_ge
